Incident ID,Incident Date,State,City Or County,Address,# Victims Injured,# Victims Killed,# Subjects-Suspects Injured,# Subjects-Suspects Killed,# Subjects-Suspects Arrested,Operations
2559740,29-Mar-23,Arkansas,Dardanelle,2306 Old Hwy 7 S,0,0,0,0,1,N/A
2558951,29-Mar-23,Virginia,Virginia Beach,4960 Haygood Rd,0,0,0,0,1,N/A
2558974,29-Mar-23,Virginia,Pilgrims Knob,14555 Desmond River Rd,0,0,0,0,1,N/A
2561498,29-Mar-23,Florida,Orange Park,4035 Plantation Oaks Blvd,0,0,0,0,2,N/A
2559854,29-Mar-23,Georgia,Douglasville,Ferncrest Pl,0,0,0,1,0,N/A
2558926,29-Mar-23,South Carolina,Winnsboro,255 Kelly Miller Rd,0,0,0,0,0,N/A
2561355,29-Mar-23,Oklahoma,Tulsa,2010 E 48th St N,0,0,0,0,1,N/A
2559405,29-Mar-23,Ohio,Toledo,2200 Arlington Ave,0,0,0,0,1,N/A
2557546,28-Mar-23,Louisiana,Lafayette,315 Rue du Belier,0,0,0,0,0,N/A
2561468,28-Mar-23,Maryland,Baltimore,2201 Presstman St,0,0,0,0,1,N/A
2558461,28-Mar-23,Georgia,Harlem,360 W Trippe St,0,0,0,0,1,N/A
2558432,28-Mar-23,Florida,Haines City,2800 Hornet Dr,0,0,0,0,1,N/A
2558202,28-Mar-23,Oklahoma,Tulsa,2900 1/2 S 65th W Ave,0,0,0,0,1,N/A
2558163,28-Mar-23,Texas,Fort Worth,3136 Bigham Blvd,0,0,0,0,1,N/A
2555459,27-Mar-23,Tennessee,Nashville,33 Burton Hills Blvd,0,6,0,1,0,N/A
2557697,27-Mar-23,Texas,San Antonio,2400 Cottonwood Way,0,0,0,0,1,N/A
2556517,27-Mar-23,South Carolina,Lake View,401 E Third Ave,0,0,0,0,1,N/A
2555875,27-Mar-23,Tennessee,Dyersburg,125 US-51 BYP,0,0,0,0,1,N/A
2558229,27-Mar-23,Alabama,Mobile,3900 Pleasant Valley Rd,0,0,0,0,1,N/A
2560505,27-Mar-23,Texas,San Antonio,1002 Edwards,0,0,0,0,1,N/A
2563950,26-Mar-23,North Carolina,Greensboro,1601 E Market St,0,0,0,0,1,N/A
2607030,25-Mar-23,Illinois,Chicago,3535 E 114th St,0,0,0,0,1,N/A
2556529,25-Mar-23,South Carolina,Orangeburg,300 College Ave,0,0,0,0,0,N/A
2558154,25-Mar-23,Tennessee,Knoxville,1615 Laurel Ave,0,0,0,0,1,N/A
2556007,24-Mar-23,California,Santa Paula,404 N 6th St,0,0,0,0,1,N/A
2554279,24-Mar-23,North Carolina,Willow Spring,835 Dixon Rd,0,0,0,0,1,N/A
2553432,24-Mar-23,West Virginia,Welch,950 Mount View High School Rd,0,0,0,0,2,N/A
2555815,24-Mar-23,Indiana,Middlebury,56691 Northridge Dr,0,1,0,0,0,N/A
2553233,24-Mar-23,Illinois,South Holland,16800 Greenwood Ave,0,0,0,0,0,N/A
2553705,23-Mar-23,Texas,San Antonio,3823 Fortuna,0,0,0,0,1,N/A
2553744,23-Mar-23,Minnesota,Minneapolis,700 22nd Ave NE,0,0,0,0,0,N/A
2553005,23-Mar-23,Texas,San Antonio,8610 Ranch View,0,0,0,0,1,N/A
2552952,23-Mar-23,Tennessee,Chattanooga,1300 Shallowford Rd,0,0,0,0,1,N/A
2552853,23-Mar-23,North Carolina,Mebane,4040 Mebane Rogers Rd,0,0,0,0,1,N/A
2553387,23-Mar-23,North Carolina,Charlotte,9303 Martin Village Rd,0,0,0,0,1,N/A
2553956,23-Mar-23,Florida,Sanford,2701 Ridgewood Ave,0,0,0,0,1,N/A
2556336,23-Mar-23,New Jersey,Rockaway,50 Knoll Dr,0,0,0,0,2,N/A
2552884,22-Mar-23,North Carolina,Clayton,490 Guy Rd,0,0,0,0,1,N/A
